system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,SCL,WVP,hours_from_measurement,ndvi,ndwi,sample_idx,.geo
194,0.33,0.0328,0.0162,0.008700000000000001,0.0361,0.061200000000000004,0.0342,0.0734,0.0531,0.0509,0.0391,0.0357,0.0148,0.0,6,2.394,92.5128775,0.06684856753069579,0.22033898305084748,8579,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,0.33,0.0328,0.0162,0.008700000000000001,0.0361,0.061200000000000004,0.0342,0.0734,0.0531,0.0509,0.0391,0.0357,0.0148,0.0,6,2.394,101.02954416666667,0.06684856753069579,0.22033898305084748,8581,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,0.21,0.0337,0.0187,0.0115,0.0392,0.0495,0.029900000000000003,0.0577,0.040400000000000005,0.0422,0.0315,0.030000000000000002,0.0291,0.0,6,2.079,44.544675833333336,0.026058631921824057,0.22222222222222224,8936,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,0.21,0.0337,0.0187,0.0115,0.0392,0.0495,0.029900000000000003,0.0577,0.040400000000000005,0.0422,0.0315,0.030000000000000002,0.0291,0.0,6,2.079,52.9613425,0.026058631921824057,0.22222222222222224,8939,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,0.66,0.0737,0.0302,0.0177,0.0789,0.08560000000000001,0.060500000000000005,0.0897,0.0748,0.0801,0.058600000000000006,0.0536,0.0553,0.0,6,3.577,19.99508972222222,-0.01595298068849705,0.18723994452149792,9224,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,0.66,0.0737,0.0302,0.0177,0.0789,0.08560000000000001,0.060500000000000005,0.0897,0.0748,0.0801,0.058600000000000006,0.0536,0.0553,0.0,6,3.577,29.678423055555555,-0.01595298068849705,0.18723994452149792,9227,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,0.34800000000000003,0.12200000000000001,0.0303,0.0152,0.1233,0.1173,0.0912,0.12000000000000001,0.1101,0.1086,0.09380000000000001,0.083,0.0671,0.0,6,1.956,116.36249055555555,0.014054054054054082,0.11132164850781616,8468,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,0.34800000000000003,0.12200000000000001,0.0303,0.0152,0.1233,0.1173,0.0912,0.12000000000000001,0.1101,0.1086,0.09380000000000001,0.083,0.0671,0.0,6,1.956,124.86249055555555,0.014054054054054082,0.11132164850781616,8469,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,0.21,0.0347,0.0111,0.0076,0.0415,0.054,0.032,0.0766,0.062,0.0629,0.051000000000000004,0.0381,0.0207,0.0,6,2.079,44.74467583333333,0.22891566265060243,0.02857142857142853,8937,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,0.21,0.0347,0.0111,0.0076,0.0415,0.054,0.032,0.0766,0.062,0.0629,0.051000000000000004,0.0381,0.0207,0.0,6,2.079,53.194675833333335,0.22891566265060243,0.02857142857142853,8940,"{""type"":""MultiPoint"",""coordinates"":[]}"
