sample_dt,do_mg_per_L,turbidity_cm,ph,ammonia_mg_per_L,pond_id,do_in_range,ph_in_range,ammonia_in_range,turbidity_in_range,morning,time_of_day,ds
2021-11-16 17:01:00+05:30,7.75,28.0,8.36,,NL-CHA1,below,within,,within,False,evening,train
2021-12-03 07:22:00+05:30,5.6,49.0,7.72,,NL-CHA1,above,within,,within,True,morning,train
2021-12-03 17:35:00+05:30,11.05,49.0,7.7,,NL-CHA1,within,within,,within,False,evening,train
2021-12-18 07:29:00+05:30,4.15,34.0,7.96,0.0,NL-CHA1,within,within,within,within,True,morning,train
2021-12-18 16:45:00+05:30,12.15,,8.39,,NL-CHA1,above,within,,,False,evening,train
2022-01-03 07:34:00+05:30,2.5,33.0,7.58,,NL-CHA1,below,within,,within,True,morning,train
2022-01-03 17:40:00+05:30,8.05,33.0,7.88,,NL-CHA1,within,within,,within,False,evening,train
2022-01-18 08:03:00+05:30,1.13,36.0,7.86,0.0,NL-CHA1,below,within,within,within,True,morning,train
2022-01-18 17:42:00+05:30,8.4,36.0,8.18,,NL-CHA1,within,within,,within,False,evening,train
2022-01-31 07:20:00+05:30,2.25,29.0,7.5,0.0,NL-CHA1,below,within,within,within,True,morning,train
2022-01-31 17:35:00+05:30,8.15,29.0,7.6,,NL-CHA1,within,within,,within,False,evening,train
2022-02-14 06:45:00+05:30,2.65,34.0,7.26,0.0,NL-CHA1,below,within,within,within,True,morning,train
2022-02-14 16:30:00+05:30,7.1,34.0,7.72,,NL-CHA1,below,within,,within,False,evening,train
2022-03-04 07:28:00+05:30,3.1,29.0,7.92,0.0,NL-CHA1,within,within,within,within,True,morning,train
2022-03-04 16:30:00+05:30,8.45,29.0,7.84,,NL-CHA1,within,within,,within,False,evening,train
2022-05-05 06:15:00+05:30,3.55,33.0,8.4,,NL-CHA1,within,within,,within,True,morning,train
2022-05-05 16:50:00+05:30,9.4,33.0,8.47,,NL-CHA1,within,within,,within,False,evening,train
2022-05-24 07:05:00+05:30,3.4,35.0,8.27,0.0,NL-CHA1,within,within,within,within,True,morning,train
2022-05-24 17:25:00+05:30,8.56,35.0,8.34,,NL-CHA1,within,within,,within,False,evening,train
2022-06-13 06:55:00+05:30,2.9,37.0,8.15,0.0,NL-CHA1,below,within,within,within,True,morning,train
2022-06-13 17:05:00+05:30,9.6,37.0,8.29,0.0,NL-CHA1,within,within,within,within,False,evening,train
2022-06-22 06:20:00+05:30,3.55,27.0,8.21,0.5,NL-CHA1,within,within,within,within,True,morning,train
2022-06-22 17:45:00+05:30,10.7,27.0,8.29,0.5,NL-CHA1,within,within,within,within,False,evening,train
2022-07-08 06:50:00+05:30,3.8,26.0,7.78,0.0,NL-CHA1,within,within,within,within,True,morning,train
2022-07-08 16:50:00+05:30,5.75,26.0,8.0,0.0,NL-CHA1,below,within,within,within,False,evening,train
2022-08-02 06:30:00+05:30,3.3,31.0,8.13,0.0,NL-CHA1,within,within,within,within,True,morning,train
2022-08-02 16:50:00+05:30,8.55,31.0,8.32,0.0,NL-CHA1,within,within,within,within,False,evening,train
2022-08-13 06:45:00+05:30,4.45,35.0,8.04,0.0,NL-CHA1,within,within,within,within,True,morning,train
2022-08-13 16:20:00+05:30,10.8,35.0,8.38,0.0,NL-CHA1,within,within,within,within,False,evening,train
2022-08-26 06:10:00+05:30,4.05,32.0,7.3,0.0,NL-CHA1,within,within,within,within,True,morning,train
2022-08-26 16:40:00+05:30,8.6,32.0,8.0,0.0,NL-CHA1,within,within,within,within,False,evening,train
2022-09-07 06:35:00+05:30,3.7,34.0,7.54,0.0,NL-CHA1,within,within,within,within,True,morning,train
2022-09-07 16:15:00+05:30,8.55,34.0,7.9,0.0,NL-CHA1,within,within,within,within,False,evening,train
2022-09-19 06:30:00+05:30,3.3,34.0,7.32,0.04,NL-CHA1,within,within,within,within,True,morning,train
2022-09-19 16:55:00+05:30,8.45,34.0,7.77,0.04,NL-CHA1,within,within,within,within,False,evening,train
2022-10-10 07:15:00+05:30,4.35,32.0,7.71,0.18,NL-CHA1,within,within,within,within,True,morning,train
2022-10-10 17:35:00+05:30,9.75,32.0,8.47,0.18,NL-CHA1,within,within,within,within,False,evening,train
2022-10-25 07:20:00+05:30,4.2,33.0,7.9,0.27,NL-CHA1,within,within,within,within,True,morning,train
2022-10-25 17:15:00+05:30,9.45,,8.38,,NL-CHA1,within,within,,,False,evening,train
2022-11-16 07:10:00+05:30,6.1,31.0,8.29,0.0,NL-CHA1,above,within,within,within,True,morning,train
2022-11-16 16:20:00+05:30,9.6,,8.47,,NL-CHA1,within,within,,,False,evening,train
2022-12-16 06:50:00+05:30,4.1,32.0,8.46,0.07,NL-CHA1,within,within,within,within,True,morning,train
2023-01-19 07:15:00+05:30,3.8,37.0,7.63,0.09,NL-CHA1,within,within,within,within,True,morning,train
2023-01-19 16:22:00+05:30,10.8,,8.32,,NL-CHA1,within,within,,,False,evening,train
2023-03-16 07:33:00+05:30,3.9,37.0,7.8,2.53,NL-CHA1,within,within,above,within,True,morning,train
2023-03-16 17:04:00+05:30,9.6,,8.1,,NL-CHA1,within,within,,,False,evening,train
2023-04-17 07:11:00+05:30,3.4,38.0,8.2,0.0,NL-CHA1,within,within,within,within,True,morning,train
2023-04-17 17:06:00+05:30,8.9,,8.4,,NL-CHA1,within,within,,,False,evening,train
2023-05-17 06:36:00+05:30,3.9,37.0,7.9,0.14,NL-CHA1,within,within,within,within,True,morning,train
2023-05-17 16:41:00+05:30,9.3,,8.2,,NL-CHA1,within,within,,,False,evening,train
2023-06-16 06:05:00+05:30,1.9,36.0,8.0,0.21,NL-CHA1,below,within,within,within,True,morning,train
2023-06-16 16:42:00+05:30,6.5,,8.2,,NL-CHA1,below,within,,,False,evening,train
2023-07-29 06:05:00+05:30,3.4,34.0,8.1,0.23,NL-CHA1,within,within,within,within,True,morning,train
2023-07-29 16:43:00+05:30,8.9,,8.3,,NL-CHA1,within,within,,,False,evening,train
2023-11-15 06:47:00+05:30,4.0,35.0,8.02,0.03,NL-CHA1,within,within,within,within,True,morning,train
2023-11-15 16:35:00+05:30,8.5,,8.36,,NL-CHA1,within,within,,,False,evening,train
2023-12-12 06:50:00+05:30,3.3,28.0,7.93,0.51,NL-CHA1,within,within,above,within,True,morning,train
2023-12-12 16:26:00+05:30,8.6,28.0,8.25,0.51,NL-CHA1,within,within,above,within,False,evening,train
2024-01-05 06:48:00+05:30,4.0,30.0,8.15,0.21,NL-CHA1,within,within,within,within,True,morning,train
2024-01-05 15:57:00+05:30,10.9,30.0,8.27,0.21,NL-CHA1,within,within,within,within,False,evening,train
2024-02-05 07:56:00+05:30,3.9,32.0,7.86,0.14,NL-CHA1,within,within,within,within,True,morning,train
2024-02-05 17:01:00+05:30,9.8,32.0,8.09,0.14,NL-CHA1,within,within,within,within,False,evening,train
2024-03-05 06:28:00+05:30,3.6,31.0,8.11,0.19,NL-CHA1,within,within,within,within,True,morning,train
2024-03-05 16:14:00+05:30,10.2,31.0,8.32,0.19,NL-CHA1,within,within,within,within,False,evening,train
2021-08-20 06:45:00+05:30,2.8,34.0,8.12,0.0,NL-CHI1,below,within,within,within,True,morning,train
2021-08-20 17:45:00+05:30,11.7,,8.42,,NL-CHI1,within,within,,,False,evening,train
2021-09-01 08:00:00+05:30,2.7,28.0,8.49,,NL-CHI1,below,within,,within,True,morning,train
2021-09-01 18:00:00+05:30,6.34,32.0,8.41,,NL-CHI1,below,within,,within,False,evening,train
2021-09-16 07:10:00+05:30,2.7,25.0,8.3,,NL-CHI1,below,within,,within,True,morning,train
2021-09-16 17:50:00+05:30,7.6,,8.78,,NL-CHI1,below,above,,,False,evening,train
2021-10-16 07:10:00+05:30,2.7,25.0,8.3,0.0,NL-CHI1,below,within,within,within,True,morning,train
2021-10-16 17:50:00+05:30,7.6,,8.78,,NL-CHI1,below,above,,,False,evening,train
2022-01-03 07:16:00+05:30,5.55,75.0,7.53,,NL-CHI1,above,within,,above,True,morning,train
2022-01-03 17:01:00+05:30,9.25,75.0,7.71,,NL-CHI1,within,within,,above,False,evening,train
2022-01-18 06:59:00+05:30,3.95,45.0,7.87,0.0,NL-CHI1,within,within,within,within,True,morning,train
2022-01-18 18:00:00+05:30,9.9,45.0,8.25,,NL-CHI1,within,within,,within,False,evening,train
2022-03-16 07:10:00+05:30,4.1,64.0,7.75,0.0,NL-CHI1,within,within,within,above,True,morning,train
2022-03-16 17:15:00+05:30,8.45,65.0,8.01,,NL-CHI1,within,within,,above,False,evening,train
2022-04-04 07:10:00+05:30,3.7,37.0,7.95,0.0,NL-CHI1,within,within,within,within,True,morning,train
2022-04-04 17:10:00+05:30,13.85,37.0,8.3,,NL-CHI1,above,within,,within,False,evening,train
2022-04-18 06:50:00+05:30,3.35,35.0,7.92,0.0,NL-CHI1,within,within,within,within,True,morning,train
2022-04-18 17:15:00+05:30,8.55,35.0,8.46,0.0,NL-CHI1,within,within,within,within,False,evening,train
2022-05-04 06:50:00+05:30,3.8,23.0,8.71,,NL-CHI1,within,above,,within,True,morning,train
2022-05-04 17:05:00+05:30,9.8,23.0,8.83,,NL-CHI1,within,above,,within,False,evening,train
2022-05-23 07:15:00+05:30,4.2,25.0,8.73,0.0,NL-CHI1,within,above,within,within,True,morning,train
2022-05-23 17:10:00+05:30,8.35,25.0,8.77,0.0,NL-CHI1,within,above,within,within,False,evening,train
2022-06-07 07:28:00+05:30,2.05,30.0,7.96,0.0,NL-CHI1,below,within,within,within,True,morning,train
2022-06-07 16:45:00+05:30,6.15,30.0,8.31,0.0,NL-CHI1,below,within,within,within,False,evening,train
2022-06-22 06:57:00+05:30,1.6,33.0,8.17,0.0,NL-CHI1,below,within,within,within,True,morning,train
2022-06-22 17:25:00+05:30,7.4,33.0,8.39,0.0,NL-CHI1,below,within,within,within,False,evening,train
2022-07-08 07:30:00+05:30,1.05,35.0,7.97,0.0,NL-CHI1,below,within,within,within,True,morning,train
2022-07-08 17:30:00+05:30,4.2,35.0,8.09,0.0,NL-CHI1,below,within,within,within,False,evening,train
2022-08-02 07:40:00+05:30,3.35,34.0,7.99,0.0,NL-CHI1,within,within,within,within,True,morning,train
2022-08-02 17:40:00+05:30,8.85,34.0,8.31,0.0,NL-CHI1,within,within,within,within,False,evening,train
2022-08-13 08:00:00+05:30,3.7,35.0,7.67,0.03,NL-CHI1,within,within,within,within,True,morning,train
2022-08-13 17:35:00+05:30,8.8,35.0,8.16,0.03,NL-CHI1,within,within,within,within,False,evening,train
2022-08-26 07:10:00+05:30,3.4,31.0,7.54,0.0,NL-CHI1,within,within,within,within,True,morning,train
2022-08-26 17:15:00+05:30,8.5,31.0,7.97,0.0,NL-CHI1,within,within,within,within,False,evening,train
2022-09-07 07:10:00+05:30,2.4,33.0,7.81,0.03,NL-CHI1,below,within,within,within,True,morning,train
2022-09-07 16:55:00+05:30,6.7,33.0,8.0,0.03,NL-CHI1,below,within,within,within,False,evening,train
2022-09-19 07:20:00+05:30,3.7,31.0,7.61,0.01,NL-CHI1,within,within,within,within,True,morning,train
2022-09-19 17:20:00+05:30,8.35,31.0,7.96,0.01,NL-CHI1,within,within,within,within,False,evening,train
2022-10-11 06:44:00+05:30,3.15,32.0,8.36,0.29,NL-CHI1,within,within,within,within,True,morning,train
2022-10-11 17:42:00+05:30,10.9,32.0,8.74,0.29,NL-CHI1,within,above,within,within,False,evening,train
2022-10-26 06:45:00+05:30,3.5,34.0,8.05,0.04,NL-CHI1,within,within,within,within,True,morning,train
2022-10-26 16:45:00+05:30,8.7,,8.39,,NL-CHI1,within,within,,,False,evening,train
2022-11-10 07:05:00+05:30,3.9,31.0,8.31,0.0,NL-CHI1,within,within,within,within,True,morning,train
2022-11-16 06:35:00+05:30,3.7,33.0,8.11,0.0,NL-CHI1,within,within,within,within,True,morning,train
2022-11-16 15:45:00+05:30,10.4,,8.46,,NL-CHI1,within,within,,,False,evening,train
2022-12-16 06:50:00+05:30,3.7,32.0,7.96,0.07,NL-CHI1,within,within,within,within,True,morning,train
2022-12-16 16:10:00+05:30,11.8,,8.81,,NL-CHI1,within,above,,,False,evening,train
2023-03-17 07:41:00+05:30,3.4,47.0,8.0,0.01,NL-CHI1,within,within,within,within,True,morning,train
2023-03-17 17:16:00+05:30,10.3,,8.2,,NL-CHI1,within,within,,,False,evening,train
