sample_idx,sample_dt,pond_id,region,farm,morning,hour,do_mg_per_L,ph,turbidity_cm,ammonia_mg_per_L,do_winkler,prev_matches_time,prev_sample_dt,prev_do_mg_per_L,prev_ph,prev_turbidity_cm,prev_ammonia_mg_per_L,prev_individuals_air_gulping,prev_individuals_tail_splashing,prev_dead_fish,prev_feed_amount_kg,prev_stocking_density_per_acre,prev_weight,prev_species_catla,prev_species_rohu,prev_species_roopchand,prev_species_grass_carp,prev_species_pangasius,prev_species_whiteleg_shrimp
127,2021-08-26 07:45:00+05:30,NL-BAN1,NL,NL-BAN,True,7,3.2,8.33,32.0,0.0,False,,,,,,,,,,,,,,,,,,
134,2021-08-26 17:25:00+05:30,NL-BAN1,NL,NL-BAN,False,17,5.9,7.89,,,False,,,,,,,,,,,,,,,,,,
188,2021-09-13 06:45:00+05:30,NL-BAN1,NL,NL-BAN,True,6,1.2,8.23,20.0,,False,True,2021-08-26 07:45:00+05:30,3.2,8.33,32.0,0.0,,,,,,,,,,,,
191,2021-09-13 16:50:00+05:30,NL-BAN1,NL,NL-BAN,False,16,10.5,8.81,,,False,True,2021-08-26 17:25:00+05:30,5.9,7.89,,,,,,,,,,,,,,
248,2021-09-28 06:37:00+05:30,NL-BAN1,NL,NL-BAN,True,6,1.4,8.04,36.0,0.0,False,True,2021-09-13 06:45:00+05:30,1.2,8.23,20.0,,,,,,,,,,,,,
255,2021-09-28 17:49:00+05:30,NL-BAN1,NL,NL-BAN,False,17,12.4,8.51,0.0,0.0,False,True,2021-09-13 16:50:00+05:30,10.5,8.81,,,,,,,,,,,,,,
294,2021-10-11 07:08:00+05:30,NL-BAN1,NL,NL-BAN,True,7,1.8,7.8,35.0,,False,True,2021-09-28 06:37:00+05:30,1.4,8.04,36.0,0.0,,,,,,,,,,,,
297,2021-10-11 16:43:00+05:30,NL-BAN1,NL,NL-BAN,False,16,10.0,8.23,,,False,True,2021-09-28 17:49:00+05:30,12.4,8.51,0.0,0.0,,,,,,,,,,,,
347,2021-10-28 06:12:00+05:30,NL-BAN1,NL,NL-BAN,True,6,1.8,8.23,33.0,0.0,False,True,2021-10-11 07:08:00+05:30,1.8,7.8,35.0,,,,,,,,,,,,,
349,2021-10-28 16:27:00+05:30,NL-BAN1,NL,NL-BAN,False,16,2.5,8.39,,,False,True,2021-10-11 16:43:00+05:30,10.0,8.23,,,,,,,,,,,,,,
404,2021-11-14 07:19:00+05:30,NL-BAN1,NL,NL-BAN,True,7,1.8,8.27,22.0,,False,True,2021-10-28 06:12:00+05:30,1.8,8.23,33.0,0.0,,,,,,,,,,,,
406,2021-11-14 17:03:00+05:30,NL-BAN1,NL,NL-BAN,False,17,5.8,8.31,,,False,True,2021-10-28 16:27:00+05:30,2.5,8.39,,,,,,,,,,,,,,
499,2021-11-28 07:19:00+05:30,NL-BAN1,NL,NL-BAN,True,7,1.0,7.6,29.0,,False,True,2021-11-14 07:19:00+05:30,1.8,8.27,22.0,,,,,,,,,,,,,
507,2021-11-28 17:02:00+05:30,NL-BAN1,NL,NL-BAN,False,17,3.7,7.92,29.0,,False,True,2021-11-14 17:03:00+05:30,5.8,8.31,,,,,,,,,,,,,,
637,2021-12-24 08:00:00+05:30,NL-BAN1,NL,NL-BAN,True,8,3.2,7.94,39.0,0.0,False,True,2021-11-28 07:19:00+05:30,1.0,7.6,29.0,,,,,30.0,,,,,,,,
644,2021-12-24 17:07:00+05:30,NL-BAN1,NL,NL-BAN,False,17,12.5,8.17,,,False,True,2021-11-28 17:02:00+05:30,3.7,7.92,29.0,,,,,30.0,,,,,,,,
725,2022-01-07 06:45:00+05:30,NL-BAN1,NL,NL-BAN,True,6,4.3,7.28,28.0,,False,True,2021-12-24 08:00:00+05:30,3.2,7.94,39.0,0.0,,,,50.0,,,,,,,,
728,2022-01-07 17:01:00+05:30,NL-BAN1,NL,NL-BAN,False,17,8.3,7.94,28.0,,False,True,2021-12-24 17:07:00+05:30,12.5,8.17,,,,,,,,,,,,,,
836,2022-01-25 06:50:00+05:30,NL-BAN1,NL,NL-BAN,True,6,3.3,8.03,31.0,0.0,False,True,2022-01-07 06:45:00+05:30,4.3,7.28,28.0,,,,,10.0,,,,,,,,
848,2022-01-25 17:10:00+05:30,NL-BAN1,NL,NL-BAN,False,17,8.4,8.45,31.0,,False,True,2022-01-07 17:01:00+05:30,8.3,7.94,28.0,,,,,10.0,,,,,,,,
958,2022-02-10 06:50:00+05:30,NL-BAN1,NL,NL-BAN,True,6,3.4,7.3,31.0,0.0,False,True,2022-01-25 06:50:00+05:30,3.3,8.03,31.0,0.0,,,,10.0,,,,,,,,
962,2022-02-10 17:10:00+05:30,NL-BAN1,NL,NL-BAN,False,17,10.0,8.0,31.0,,False,True,2022-01-25 17:10:00+05:30,8.4,8.45,31.0,,,,,10.0,,,,,,,,
1026,2022-02-22 07:12:00+05:30,NL-BAN1,NL,NL-BAN,True,7,3.4,7.31,28.0,0.0,False,True,2022-02-10 06:50:00+05:30,3.4,7.3,31.0,0.0,,,,10.0,,,,,,,,
1029,2022-02-22 17:05:00+05:30,NL-BAN1,NL,NL-BAN,False,17,8.4,8.18,28.0,,False,True,2022-02-10 17:10:00+05:30,10.0,8.0,31.0,,,,,10.0,,,,,,,,
1144,2022-03-10 07:10:00+05:30,NL-BAN1,NL,NL-BAN,True,7,3.9,7.32,52.0,0.0,False,True,2022-02-22 07:12:00+05:30,3.4,7.31,28.0,0.0,,,,10.0,,,,,,,,
1151,2022-03-10 16:55:00+05:30,NL-BAN1,NL,NL-BAN,False,16,9.2,7.42,52.0,,False,True,2022-02-22 17:05:00+05:30,8.4,8.18,28.0,,,,,10.0,,,,,,,,
1283,2022-03-31 06:45:00+05:30,NL-BAN1,NL,NL-BAN,True,6,3.5,7.35,42.0,0.0,False,True,2022-03-10 07:10:00+05:30,3.9,7.32,52.0,0.0,,,,40.0,,,,,,,,
1287,2022-03-31 16:35:00+05:30,NL-BAN1,NL,NL-BAN,False,16,9.6,7.67,42.0,,False,True,2022-03-10 16:55:00+05:30,9.2,7.42,52.0,,,,,40.0,,,,,,,,
1395,2022-04-14 06:35:00+05:30,NL-BAN1,NL,NL-BAN,True,6,4.1,8.04,38.0,0.0,False,True,2022-03-31 06:45:00+05:30,3.5,7.35,42.0,0.0,,,,40.0,,,,,,,,
1399,2022-04-14 17:00:00+05:30,NL-BAN1,NL,NL-BAN,False,17,9.9,8.29,38.0,0.0,False,True,2022-03-31 16:35:00+05:30,9.6,7.67,42.0,,,,,40.0,,,,,,,,
1509,2022-04-30 06:30:00+05:30,NL-BAN1,NL,NL-BAN,True,6,4.0,7.92,34.0,,False,True,2022-04-14 06:35:00+05:30,4.1,8.04,38.0,0.0,,,,30.0,1800.0,,,,,,,
1513,2022-04-30 16:40:00+05:30,NL-BAN1,NL,NL-BAN,False,16,8.5,8.29,34.0,,False,True,2022-04-14 17:00:00+05:30,9.9,8.29,38.0,0.0,,,,30.0,1800.0,,,,,,,
1647,2022-05-20 06:05:00+05:30,NL-BAN1,NL,NL-BAN,True,6,3.7,7.83,28.0,0.0,False,True,2022-04-30 06:30:00+05:30,4.0,7.92,34.0,,,,,30.0,1800.0,,,,,,,
1651,2022-05-20 16:35:00+05:30,NL-BAN1,NL,NL-BAN,False,16,11.6,8.29,28.0,0.0,False,True,2022-04-30 16:40:00+05:30,8.5,8.29,34.0,,,,,30.0,1800.0,,,,,,,
1756,2022-06-03 07:01:00+05:30,NL-BAN1,NL,NL-BAN,True,7,3.4,7.98,30.0,0.0,False,True,2022-05-20 06:05:00+05:30,3.7,7.83,28.0,0.0,,,,30.0,1800.0,,,,,,,
1763,2022-06-03 17:10:00+05:30,NL-BAN1,NL,NL-BAN,False,17,10.3,8.36,30.0,0.0,False,True,2022-05-20 16:35:00+05:30,11.6,8.29,28.0,0.0,,,,30.0,1800.0,,,,,,,
1891,2022-06-20 06:30:00+05:30,NL-BAN1,NL,NL-BAN,True,6,3.9,8.03,33.0,0.0,False,True,2022-06-03 07:01:00+05:30,3.4,7.98,30.0,0.0,,,,30.0,1800.0,,,,,,,
1895,2022-06-20 16:30:00+05:30,NL-BAN1,NL,NL-BAN,False,16,10.7,8.32,33.0,0.0,False,True,2022-06-03 17:10:00+05:30,10.3,8.36,30.0,0.0,,,,30.0,1800.0,,,,,,,
1978,2022-07-06 06:35:00+05:30,NL-BAN1,NL,NL-BAN,True,6,2.0,7.8,31.0,0.0,False,True,2022-06-20 06:30:00+05:30,3.9,8.03,33.0,0.0,,,,20.0,900.0,,,,,,,
1982,2022-07-06 16:30:00+05:30,NL-BAN1,NL,NL-BAN,False,16,5.0,7.88,31.0,0.0,False,True,2022-06-20 16:30:00+05:30,10.7,8.32,33.0,0.0,,,,20.0,900.0,,,,,,,
2117,2022-07-30 06:27:00+05:30,NL-BAN1,NL,NL-BAN,True,6,3.7,7.98,32.0,0.0,False,True,2022-07-06 06:35:00+05:30,2.0,7.8,31.0,0.0,,,,30.0,900.0,,,,,,,
2122,2022-07-30 16:05:00+05:30,NL-BAN1,NL,NL-BAN,False,16,10.4,8.36,32.0,0.0,False,True,2022-07-06 16:30:00+05:30,5.0,7.88,31.0,0.0,,,,30.0,900.0,,,,,,,
2177,2022-08-08 06:30:00+05:30,NL-BAN1,NL,NL-BAN,True,6,4.1,7.53,32.0,0.0,False,True,2022-07-30 06:27:00+05:30,3.7,7.98,32.0,0.0,,,,30.0,900.0,,,,,,,
2182,2022-08-08 17:00:00+05:30,NL-BAN1,NL,NL-BAN,False,17,9.1,7.88,32.0,0.0,False,True,2022-07-30 16:05:00+05:30,10.4,8.36,32.0,0.0,,,,30.0,900.0,,,,,,,
2293,2022-08-23 06:35:00+05:30,NL-BAN1,NL,NL-BAN,True,6,4.4,7.56,34.0,0.03,False,True,2022-08-08 06:30:00+05:30,4.1,7.53,32.0,0.0,,,,30.0,900.0,,,,,,,
2297,2022-08-23 16:55:00+05:30,NL-BAN1,NL,NL-BAN,False,16,9.7,7.83,34.0,0.03,False,True,2022-08-08 17:00:00+05:30,9.1,7.88,32.0,0.0,,,,30.0,900.0,,,,,,,
2378,2022-09-12 06:30:00+05:30,NL-BAN1,NL,NL-BAN,True,6,3.4,7.05,34.0,0.03,False,True,2022-08-23 06:35:00+05:30,4.4,7.56,34.0,0.03,,,,30.0,900.0,,,,,,,
2383,2022-09-12 16:05:00+05:30,NL-BAN1,NL,NL-BAN,False,16,8.5,7.57,34.0,0.03,False,True,2022-08-23 16:55:00+05:30,9.7,7.83,34.0,0.03,,,,30.0,900.0,,,,,,,
2485,2022-09-27 06:55:00+05:30,NL-BAN1,NL,NL-BAN,True,6,3.7,6.62,33.0,0.44,False,True,2022-09-12 06:30:00+05:30,3.4,7.05,34.0,0.03,,,,30.0,900.0,,,,,,,
2490,2022-09-27 16:20:00+05:30,NL-BAN1,NL,NL-BAN,False,16,8.5,7.97,33.0,0.44,False,True,2022-09-12 16:05:00+05:30,8.5,7.57,34.0,0.03,,,,30.0,900.0,,,,,,,
128,2021-08-26 07:50:00+05:30,NL-BAN2,NL,NL-BAN,True,7,3.5,8.41,34.0,0.0,False,,,,,,,,,,,,,,,,,,
135,2021-08-26 17:30:00+05:30,NL-BAN2,NL,NL-BAN,False,17,6.1,7.94,,,False,,,,,,,,,,,,,,,,,,
189,2021-09-13 06:50:00+05:30,NL-BAN2,NL,NL-BAN,True,6,1.1,8.22,21.0,,False,True,2021-08-26 07:50:00+05:30,3.5,8.41,34.0,0.0,,,,,,,,,,,,
192,2021-09-13 17:05:00+05:30,NL-BAN2,NL,NL-BAN,False,17,13.5,8.82,,,False,True,2021-08-26 17:30:00+05:30,6.1,7.94,,,,,,,,,,,,,,
247,2021-09-28 06:32:00+05:30,NL-BAN2,NL,NL-BAN,True,6,3.0,8.16,34.0,0.0,False,True,2021-09-13 06:50:00+05:30,1.1,8.22,21.0,,,,,,,,,,,,,
256,2021-09-28 17:54:00+05:30,NL-BAN2,NL,NL-BAN,False,17,10.6,8.6,0.0,0.0,False,True,2021-09-13 17:05:00+05:30,13.5,8.82,,,,,,,,,,,,,,
295,2021-10-11 07:12:00+05:30,NL-BAN2,NL,NL-BAN,True,7,1.9,7.89,37.0,,False,True,2021-09-28 06:32:00+05:30,3.0,8.16,34.0,0.0,,,,,,,,,,,,
298,2021-10-11 16:47:00+05:30,NL-BAN2,NL,NL-BAN,False,16,10.4,8.22,,,False,True,2021-09-28 17:54:00+05:30,10.6,8.6,0.0,0.0,,,,,,,,,,,,
348,2021-10-28 06:24:00+05:30,NL-BAN2,NL,NL-BAN,True,6,4.0,7.9,44.0,0.0,False,True,2021-10-11 07:12:00+05:30,1.9,7.89,37.0,,,,,,,,,,,,,
350,2021-10-28 16:38:00+05:30,NL-BAN2,NL,NL-BAN,False,16,1.9,8.09,,,False,True,2021-10-11 16:47:00+05:30,10.4,8.22,,,,,,,,,,,,,,
403,2021-11-14 07:12:00+05:30,NL-BAN2,NL,NL-BAN,True,7,2.0,8.14,34.0,,False,True,2021-10-28 06:24:00+05:30,4.0,7.9,44.0,0.0,,,,,,,,,,,,
407,2021-11-14 17:09:00+05:30,NL-BAN2,NL,NL-BAN,False,17,9.8,8.38,,,False,True,2021-10-28 16:38:00+05:30,1.9,8.09,,,,,,,,,,,,,,
496,2021-11-28 07:11:00+05:30,NL-BAN2,NL,NL-BAN,True,7,1.6,7.52,44.0,,False,True,2021-11-14 07:12:00+05:30,2.0,8.14,34.0,,,,,,,,,,,,,
503,2021-11-28 16:45:00+05:30,NL-BAN2,NL,NL-BAN,False,16,4.0,7.9,44.0,,False,True,2021-11-14 17:09:00+05:30,9.8,8.38,,,,,,,,,,,,,,
638,2021-12-24 08:03:00+05:30,NL-BAN2,NL,NL-BAN,True,8,3.1,7.95,40.0,,False,True,2021-11-28 07:11:00+05:30,1.6,7.52,44.0,,,,,30.0,,,,,,,,
643,2021-12-24 17:02:00+05:30,NL-BAN2,NL,NL-BAN,False,17,12.8,8.19,,,False,True,2021-11-28 16:45:00+05:30,4.0,7.9,44.0,,,,,,,,,,,,,
726,2022-01-07 07:16:00+05:30,NL-BAN2,NL,NL-BAN,True,7,5.6,7.31,32.0,,False,True,2021-12-24 08:03:00+05:30,3.1,7.95,40.0,,,,,40.0,,,,,,,,
729,2022-01-07 17:09:00+05:30,NL-BAN2,NL,NL-BAN,False,17,8.5,8.23,32.0,,False,True,2021-12-24 17:02:00+05:30,12.8,8.19,,,,,,,,,,,,,,
839,2022-01-25 07:05:00+05:30,NL-BAN2,NL,NL-BAN,True,7,3.6,7.98,29.0,0.0,False,True,2022-01-07 07:16:00+05:30,5.6,7.31,32.0,,,,,10.0,,,,,,,,
851,2022-01-25 17:20:00+05:30,NL-BAN2,NL,NL-BAN,False,17,9.2,8.43,29.0,,False,True,2022-01-07 17:09:00+05:30,8.5,8.23,32.0,,,,,,,,,,,,,
959,2022-02-10 07:02:00+05:30,NL-BAN2,NL,NL-BAN,True,7,4.0,7.05,36.0,0.0,False,True,2022-01-25 07:05:00+05:30,3.6,7.98,29.0,0.0,,,,10.0,,,,,,,,
963,2022-02-10 17:20:00+05:30,NL-BAN2,NL,NL-BAN,False,17,10.2,8.03,36.0,,False,True,2022-01-25 17:20:00+05:30,9.2,8.43,29.0,,,,,,,,,,,,,
1027,2022-02-22 07:21:00+05:30,NL-BAN2,NL,NL-BAN,True,7,3.9,7.49,30.0,0.0,False,True,2022-02-10 07:02:00+05:30,4.0,7.05,36.0,0.0,,,,10.0,,,,,,,,
1030,2022-02-22 17:12:00+05:30,NL-BAN2,NL,NL-BAN,False,17,10.4,8.41,30.0,,False,True,2022-02-10 17:20:00+05:30,10.2,8.03,36.0,,,,,,,,,,,,,
1146,2022-03-10 07:20:00+05:30,NL-BAN2,NL,NL-BAN,True,7,3.9,7.6,25.0,0.0,False,True,2022-02-22 07:21:00+05:30,3.9,7.49,30.0,0.0,,,,10.0,,,,,,,,
1153,2022-03-10 17:05:00+05:30,NL-BAN2,NL,NL-BAN,False,17,11.4,8.09,20.0,,False,True,2022-02-22 17:12:00+05:30,10.4,8.41,30.0,,,,,,,,,,,,,
1284,2022-03-31 06:58:00+05:30,NL-BAN2,NL,NL-BAN,True,6,3.3,7.74,31.0,0.0,False,True,2022-03-10 07:20:00+05:30,3.9,7.6,25.0,0.0,,,,40.0,,,,,,,,
1288,2022-03-31 16:45:00+05:30,NL-BAN2,NL,NL-BAN,False,16,8.9,8.25,31.0,,False,True,2022-03-10 17:05:00+05:30,11.4,8.09,20.0,,,,,40.0,,,,,,,,
1396,2022-04-14 06:45:00+05:30,NL-BAN2,NL,NL-BAN,True,6,4.0,8.1,31.0,0.0,False,True,2022-03-31 06:58:00+05:30,3.3,7.74,31.0,0.0,,,,40.0,,,,,,,,
1400,2022-04-14 17:10:00+05:30,NL-BAN2,NL,NL-BAN,False,17,10.4,8.12,31.0,0.0,False,True,2022-03-31 16:45:00+05:30,8.9,8.25,31.0,,,,,40.0,,,,,,,,
1510,2022-04-30 06:45:00+05:30,NL-BAN2,NL,NL-BAN,True,6,4.2,8.2,25.0,,False,True,2022-04-14 06:45:00+05:30,4.0,8.1,31.0,0.0,,,,30.0,1800.0,,,,,,,
1514,2022-04-30 16:55:00+05:30,NL-BAN2,NL,NL-BAN,False,16,10.7,8.84,25.0,,False,True,2022-04-14 17:10:00+05:30,10.4,8.12,31.0,0.0,,,,30.0,1800.0,,,,,,,
1648,2022-05-20 06:15:00+05:30,NL-BAN2,NL,NL-BAN,True,6,4.2,8.02,27.0,0.0,False,True,2022-04-30 06:45:00+05:30,4.2,8.2,25.0,,,,,30.0,1800.0,,,,,,,
1652,2022-05-20 16:45:00+05:30,NL-BAN2,NL,NL-BAN,False,16,10.6,8.38,27.0,0.0,False,True,2022-04-30 16:55:00+05:30,10.7,8.84,25.0,,,,,30.0,1800.0,,,,,,,
1757,2022-06-03 07:20:00+05:30,NL-BAN2,NL,NL-BAN,True,7,3.9,7.98,26.0,0.0,False,True,2022-05-20 06:15:00+05:30,4.2,8.02,27.0,0.0,,,,30.0,1800.0,,,,,,,
1762,2022-06-03 16:55:00+05:30,NL-BAN2,NL,NL-BAN,False,16,9.5,8.39,30.0,0.0,False,True,2022-05-20 16:45:00+05:30,10.6,8.38,27.0,0.0,,,,30.0,1800.0,,,,,,,
1892,2022-06-20 06:45:00+05:30,NL-BAN2,NL,NL-BAN,True,6,4.1,8.05,27.0,0.0,False,True,2022-06-03 07:20:00+05:30,3.9,7.98,26.0,0.0,,,,30.0,1800.0,,,,,,,
1896,2022-06-20 16:40:00+05:30,NL-BAN2,NL,NL-BAN,False,16,11.3,8.36,27.0,0.0,False,True,2022-06-03 16:55:00+05:30,9.5,8.39,30.0,0.0,,,,30.0,1800.0,,,,,,,
1979,2022-07-06 06:50:00+05:30,NL-BAN2,NL,NL-BAN,True,6,3.4,8.18,29.0,0.0,False,True,2022-06-20 06:45:00+05:30,4.1,8.05,27.0,0.0,,,,20.0,900.0,,,,,,,
1983,2022-07-06 16:40:00+05:30,NL-BAN2,NL,NL-BAN,False,16,4.9,8.27,29.0,0.0,False,True,2022-06-20 16:40:00+05:30,11.3,8.36,27.0,0.0,,,,20.0,900.0,,,,,,,
2118,2022-07-30 06:41:00+05:30,NL-BAN2,NL,NL-BAN,True,6,3.9,7.92,28.0,0.0,False,True,2022-07-06 06:50:00+05:30,3.4,8.18,29.0,0.0,,,,30.0,900.0,,,,,,,
2123,2022-07-30 16:15:00+05:30,NL-BAN2,NL,NL-BAN,False,16,8.8,8.22,28.0,0.0,False,True,2022-07-06 16:40:00+05:30,4.9,8.27,29.0,0.0,,,,30.0,900.0,,,,,,,
2178,2022-08-08 06:45:00+05:30,NL-BAN2,NL,NL-BAN,True,6,4.7,7.79,30.0,0.0,False,True,2022-07-30 06:41:00+05:30,3.9,7.92,28.0,0.0,,,,30.0,900.0,,,,,,,
2183,2022-08-08 17:10:00+05:30,NL-BAN2,NL,NL-BAN,False,17,11.4,8.18,30.0,0.0,False,True,2022-07-30 16:15:00+05:30,8.8,8.22,28.0,0.0,,,,30.0,900.0,,,,,,,
2294,2022-08-23 06:55:00+05:30,NL-BAN2,NL,NL-BAN,True,6,4.3,7.79,30.0,0.01,False,True,2022-08-08 06:45:00+05:30,4.7,7.79,30.0,0.0,,,,30.0,900.0,,,,,,,
2298,2022-08-23 17:10:00+05:30,NL-BAN2,NL,NL-BAN,False,17,11.2,7.96,31.0,0.01,False,True,2022-08-08 17:10:00+05:30,11.4,8.18,30.0,0.0,,,,30.0,900.0,,,,,,,
2379,2022-09-12 06:55:00+05:30,NL-BAN2,NL,NL-BAN,True,6,4.3,7.43,31.0,0.04,False,True,2022-08-23 06:55:00+05:30,4.3,7.79,30.0,0.01,,,,30.0,900.0,,,,,,,
2384,2022-09-12 16:20:00+05:30,NL-BAN2,NL,NL-BAN,False,16,8.8,7.93,31.0,0.04,False,True,2022-08-23 17:10:00+05:30,11.2,7.96,31.0,0.01,,,,30.0,900.0,,,,,,,
2486,2022-09-27 07:05:00+05:30,NL-BAN2,NL,NL-BAN,True,7,3.8,7.4,33.0,0.16,False,True,2022-09-12 06:55:00+05:30,4.3,7.43,31.0,0.04,,,,30.0,900.0,,,,,,,
2491,2022-09-27 16:30:00+05:30,NL-BAN2,NL,NL-BAN,False,16,8.4,8.41,33.0,0.16,False,True,2022-09-12 16:20:00+05:30,8.8,7.93,31.0,0.04,,,,30.0,900.0,,,,,,,
64,2021-08-07 06:45:00+05:30,NL-BAS1,NL,NL-BAS,True,6,3.5,7.98,28.0,0.0,False,,,,,,,,,,,,,,,,,,
65,2021-08-07 17:30:00+05:30,NL-BAS1,NL,NL-BAS,False,17,10.1,8.2,29.0,,False,,,,,,,,,,,,,,,,,,
93,2021-08-19 07:25:00+05:30,NL-BAS1,NL,NL-BAS,True,7,5.2,8.26,29.0,0.0,False,True,2021-08-07 06:45:00+05:30,3.5,7.98,28.0,0.0,,,,,,,,,,,,
95,2021-08-19 16:45:00+05:30,NL-BAS1,NL,NL-BAS,False,16,8.8,8.21,29.0,,False,True,2021-08-07 17:30:00+05:30,10.1,8.2,29.0,,,,,,,,,,,,,
141,2021-08-31 07:30:00+05:30,NL-BAS1,NL,NL-BAS,True,7,1.1,8.44,43.0,,False,True,2021-08-19 07:25:00+05:30,5.2,8.26,29.0,0.0,,,,,,,,,,,,
143,2021-08-31 17:30:00+05:30,NL-BAS1,NL,NL-BAS,False,17,6.1,8.33,41.0,,False,True,2021-08-19 16:45:00+05:30,8.8,8.21,29.0,,,,,,,,,,,,,
199,2021-09-15 06:30:00+05:30,NL-BAS1,NL,NL-BAS,True,6,2.6,8.17,32.0,,False,True,2021-08-31 07:30:00+05:30,1.1,8.44,43.0,,,,,,,,,,,,,
204,2021-09-15 17:45:00+05:30,NL-BAS1,NL,NL-BAS,False,17,12.4,8.47,,,False,True,2021-08-31 17:30:00+05:30,6.1,8.33,41.0,,,,,,,,,,,,,
265,2021-10-04 07:27:00+05:30,NL-BAS1,NL,NL-BAS,True,7,3.3,8.75,27.0,,False,True,2021-09-15 06:30:00+05:30,2.6,8.17,32.0,,,,,,,,,,,,,
365,2021-11-01 07:30:00+05:30,NL-BAS1,NL,NL-BAS,True,7,3.5,8.5,30.0,,False,True,2021-10-04 07:27:00+05:30,3.3,8.75,27.0,,,,,,,,,,,,,
369,2021-11-01 17:15:00+05:30,NL-BAS1,NL,NL-BAS,False,17,4.1,8.52,,,False,True,2021-09-15 17:45:00+05:30,12.4,8.47,,,,,,,,,,,,,,
423,2021-11-16 07:16:00+05:30,NL-BAS1,NL,NL-BAS,True,7,4.1,8.39,36.0,,False,True,2021-11-01 07:30:00+05:30,3.5,8.5,30.0,,,,,,,,,,,,,
428,2021-11-16 16:50:00+05:30,NL-BAS1,NL,NL-BAS,False,16,9.3,8.59,36.0,,False,True,2021-11-01 17:15:00+05:30,4.1,8.52,,,,,,,,,,,,,,
514,2021-12-02 07:10:00+05:30,NL-BAS1,NL,NL-BAS,True,7,5.4,8.14,28.0,,False,True,2021-11-16 07:16:00+05:30,4.1,8.39,36.0,,,,,150.0,,,,,,,,
517,2021-12-02 17:20:00+05:30,NL-BAS1,NL,NL-BAS,False,17,8.4,8.17,28.0,,False,True,2021-11-16 16:50:00+05:30,9.3,8.59,36.0,,,,,,,,,,,,,
590,2021-12-17 08:09:00+05:30,NL-BAS1,NL,NL-BAS,True,8,2.9,7.79,27.0,,False,True,2021-12-02 07:10:00+05:30,5.4,8.14,28.0,,,,,,,,,,,,,
593,2021-12-17 17:12:00+05:30,NL-BAS1,NL,NL-BAS,False,17,10.5,8.46,,,False,True,2021-12-02 17:20:00+05:30,8.4,8.17,28.0,,,,,,,,,,,,,
661,2021-12-27 16:36:00+05:30,NL-BAS1,NL,NL-BAS,False,16,8.3,7.71,28.0,,False,True,2021-12-17 17:12:00+05:30,10.5,8.46,,,,,,,,,,,,,,
675,2021-12-30 06:55:00+05:30,NL-BAS1,NL,NL-BAS,True,6,3.2,7.62,28.0,,False,True,2021-12-17 08:09:00+05:30,2.9,7.79,27.0,,,,,180.0,,,,,,,,
778,2022-01-18 07:53:00+05:30,NL-BAS1,NL,NL-BAS,True,7,2.6,8.08,30.0,0.0,True,True,2021-12-30 06:55:00+05:30,3.2,7.62,28.0,,,,,120.0,,,,,,,,
783,2022-01-18 17:22:00+05:30,NL-BAS1,NL,NL-BAS,False,17,12.9,8.66,30.0,,False,True,2021-12-27 16:36:00+05:30,8.3,7.71,28.0,,,,,,,,,,,,,
880,2022-02-01 06:45:00+05:30,NL-BAS1,NL,NL-BAS,True,6,4.6,7.87,30.0,0.0,False,True,2022-01-18 07:53:00+05:30,2.6,8.08,30.0,0.0,,,,75.0,,,,,,,,
883,2022-02-01 16:40:00+05:30,NL-BAS1,NL,NL-BAS,False,16,11.2,8.48,30.0,,False,True,2022-01-18 17:22:00+05:30,12.9,8.66,30.0,,,,,,,,,,,,,
986,2022-02-15 07:25:00+05:30,NL-BAS1,NL,NL-BAS,True,7,4.0,7.64,36.0,0.0,False,True,2022-02-01 06:45:00+05:30,4.6,7.87,30.0,0.0,,,,75.0,,,,,,,,
990,2022-02-15 17:05:00+05:30,NL-BAS1,NL,NL-BAS,False,17,9.1,7.88,36.0,,False,True,2022-02-01 16:40:00+05:30,11.2,8.48,30.0,,,,,,,,,,,,,
1072,2022-03-01 06:55:00+05:30,NL-BAS1,NL,NL-BAS,True,6,1.9,7.95,22.0,0.0,False,True,2022-02-15 07:25:00+05:30,4.0,7.64,36.0,0.0,,,,220.0,,,,,,,,
1075,2022-03-01 16:45:00+05:30,NL-BAS1,NL,NL-BAS,False,16,6.0,8.38,22.0,,False,True,2022-02-15 17:05:00+05:30,9.1,7.88,36.0,,,,,,,,,,,,,
1199,2022-03-20 07:05:00+05:30,NL-BAS1,NL,NL-BAS,True,7,3.4,7.49,24.0,1.5,False,True,2022-03-01 06:55:00+05:30,1.9,7.95,22.0,0.0,,,,120.0,,,,,,,,
1200,2022-03-20 16:57:00+05:30,NL-BAS1,NL,NL-BAS,False,16,8.9,8.03,24.0,,False,True,2022-03-01 16:45:00+05:30,6.0,8.38,22.0,,,,,120.0,,,,,,,,
1314,2022-04-05 06:55:00+05:30,NL-BAS1,NL,NL-BAS,True,6,3.4,8.12,21.0,0.0,False,True,2022-03-20 07:05:00+05:30,3.4,7.49,24.0,1.5,,,,180.0,,,,,,,,
1315,2022-04-05 17:20:00+05:30,NL-BAS1,NL,NL-BAS,False,17,9.9,8.36,21.0,,False,True,2022-03-20 16:57:00+05:30,8.9,8.03,24.0,,,,,180.0,,,,,,,,
